,player_id,last_season,current_club_id,name,pretty_name,country_of_birth,country_of_citizenship_x,date_of_birth,position,sub_position,foot,height_in_cm,market_value_in_gbp,highest_market_value_in_gbp,url,Age_2020,Position_2020,fm_player_index,Unnamed: 0,Name,Position,Club,Division,Based,Nation,Height,Weight,Age,Preferred Foot,Best Pos,Best Role,Value,Wage,CA,PA,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,country_of_citizenship_y,Transfermarkt_Name,value_2022,date,market_value,value_2020,value_diff
1910,146258,2021,65,jetro-willems,Jetro Willems,Netherlands,Netherlands,1994-03-30,Defender,Defender - Left-Back,Left,177,900000.0,9000000.0,https://www.transfermarkt.co.uk/jetro-willems/profil/spieler/146258,25,0,31741,1480,Jetro Willems,D/WB (L),Eintracht Frankfurt,Bundesliga,Germany (Bundesliga),NED,169,71,25,Left,D (L),CWB,4099999,32500,130,149,8,13,2,14,10,12,13,12,2,3,2,12,8,13,16,1,14,14,12,16,11,5,2,8,6,3,10,15,13,8,3,13,12,11,15,14,9,14,2,1,15,16,10,14,9,3,15,Netherlands,jetro-willems,900000.0,2019-12-10,6300000,6300000,-5400000.0
1911,96828,2021,416,simone-zaza,Simone Zaza,Italy,Italy,1991-06-25,Attack,attack - Centre-Forward,Left,186,900000.0,22500000.0,https://www.transfermarkt.co.uk/simone-zaza/profil/spieler/96828,28,2,43675,1109,Simone Zaza,ST (C),Torino,Italian Serie A,Italy (Serie A),ITA,186,84,27,Left Only,ST (C),PF,10000000,43000,137,152,17,12,3,14,9,9,14,14,1,1,2,7,12,12,16,2,16,14,7,5,14,13,1,15,14,2,10,13,13,14,1,12,19,11,9,6,12,13,2,2,18,15,14,14,18,1,14,Italy,simone-zaza,900000.0,2019-12-12,8100000,8100000,-7200000.0
1912,167556,2021,338,vladyslav-kulach,Vladyslav Kulach,Ukraine,Ukraine,1993-05-07,Attack,attack - Centre-Forward,Right,178,900000.0,1080000.0,https://www.transfermarkt.co.uk/vladyslav-kulach/profil/spieler/167556,26,2,61694,6467,Vladyslav Kulach,"AM (RLC), ST (C)",Vorskla,Ukrainian Premier League,Ukraine (Premier League),UKR,177,73,26,Right,ST (C),PF,1900000,2800,118,135,15,8,2,11,12,7,12,15,3,1,1,8,10,12,14,2,14,15,6,5,13,12,2,11,9,1,11,12,12,13,3,12,15,11,10,8,7,11,2,3,12,13,11,14,13,4,12,Ukraine,vladyslav-kulach,900000.0,2019-10-30,405000,405000,495000.0
1913,573981,2021,126,cemali-sertel,Cemali Sertel,Turkey,Turkey,2000-01-06,Defender,Defender - Left-Back,Left,186,900000.0,900000.0,https://www.transfermarkt.co.uk/cemali-sertel/profil/spieler/573981,19,0,60013,7020,Cemali Sertel,D (L),BaÅakÅehir,Turkish Super League,Turkey (Super League),TUR,186,81,19,Left,D (L),FB,550000,3400,115,133,14,8,2,12,12,13,14,12,1,2,1,12,5,11,15,2,8,14,11,10,7,7,1,13,11,2,4,9,13,3,2,11,14,11,13,9,13,11,2,1,15,14,10,12,14,3,12,Turkey,cemali-sertel,900000.0,2020-02-04,540000,540000,360000.0
1914,184575,2021,3911,denys-bain,Denys Bain,France,France,1993-07-02,Defender,Defender - Centre-Back,Both,181,900000.0,2250000.0,https://www.transfermarkt.co.uk/denys-bain/profil/spieler/184575,26,0,7194,12729,DÃ©nys Bain,"D (C), DM, M (C)",Brest,Ligue 1 Conforama,France (Ligue 1 Conforama),FRA,181,74,25,Right,D (C),CD,1600000,6000,120,126,14,6,2,11,13,12,14,14,2,1,2,12,8,12,12,2,8,15,14,8,7,12,2,12,14,3,6,8,11,6,3,8,12,12,6,4,13,13,3,1,15,14,12,13,13,2,12,France,denys-bain,900000.0,2019-09-27,2250000,2250000,-1350000.0
1915,98596,2021,1108,john-guidetti,John Guidetti,Sweden,Sweden,1992-04-15,Attack,attack - Centre-Forward,Right,185,900000.0,7200000.0,https://www.transfermarkt.co.uk/john-guidetti/profil/spieler/98596,27,2,68281,1072,John Guidetti,ST (C),AlavÃ©s,Spanish First Division,Spain (First Division),SWE,185,74,27,Right,ST (C),CF,2900000,7250,124,152,13,10,2,16,13,6,15,12,2,3,1,5,16,13,12,1,15,9,6,9,15,11,3,14,15,4,13,10,14,13,2,14,17,10,14,9,10,11,1,3,11,13,13,11,15,3,12,Sweden,john-guidetti,900000.0,2019-12-20,1800000,1800000,-900000.0
1916,271498,2021,2995,denilson,Denilson,Brazil,Brazil,1995-07-18,Attack,attack - Centre-Forward,Right,188,900000.0,1170000.0,https://www.transfermarkt.co.uk/denilson/profil/spieler/271498,24,2,781,24064,DenÃ­lson,"AM (L), ST (C)",P. Ferreira,Unknown,Brazil,BRA,185,83,23,Right,AM (L),IW,525000,3700,112,118,8,11,3,11,11,6,12,13,3,2,2,8,12,11,13,3,10,13,8,5,11,9,4,13,11,3,11,14,13,13,1,12,14,12,8,9,12,9,3,1,14,9,13,12,11,3,14,Brazil,dene­lson,900000.0,2019-12-30,900000,900000,0.0
1917,242940,2021,1390,edoardo-goldaniga,Edoardo Goldaniga,Italy,Italy,1993-11-02,Defender,Defender - Centre-Back,Right,193,900000.0,2700000.0,https://www.transfermarkt.co.uk/edoardo-goldaniga/profil/spieler/242940,26,0,43754,8814,Edoardo Goldaniga,D (C),Genoa,Italian Serie A,Italy (Serie A),ITA,188,80,25,Right,D (C),CD,2800000,15250,122,130,12,9,3,11,12,14,13,12,2,3,4,14,6,10,12,1,6,13,13,10,5,15,2,13,16,3,4,7,12,5,1,7,15,12,6,5,11,12,3,3,13,13,15,11,14,2,12,Italy,edoardo-goldaniga,900000.0,2019-12-12,1800000,1800000,-900000.0
1918,40633,2021,252,milan-badelj,Milan Badelj,Jugoslawien (SFR),Croatia,1989-02-25,Midfield,midfield - Defensive Midfield,Right,186,900000.0,13500000.0,https://www.transfermarkt.co.uk/milan-badelj/profil/spieler/40633,30,1,49355,1339,Milan Badelj,"DM, M (C)",Fiorentina,Italian Serie A,Italy (Serie A),CRO,186,80,30,Right,DM,DLP,8500000,46000,137,150,13,14,1,14,17,14,12,14,3,3,3,13,13,15,11,3,9,15,12,3,12,14,2,12,10,3,12,12,15,10,1,13,15,14,11,10,10,15,3,2,14,13,15,12,12,3,11,Croatia,milan-badelj,900000.0,2019-10-08,4500000,4500000,-3600000.0
1919,423197,2021,443,allan-sousa,Allan Sousa,Brazil,Brazil,1997-01-27,Attack,attack - Right Winger,Left,174,900000.0,1350000.0,https://www.transfermarkt.co.uk/allan-sousa/profil/spieler/423197,22,2,549,11841,Allan Sousa,"AM (RC), ST (C)",STVV,Belgian Pro League A,Belgium (Pro League A),BRA,172,64,22,Either,ST (C),F9,1300000,1700,115,127,9,12,2,14,5,4,6,9,2,1,2,4,15,13,14,3,14,11,3,2,11,3,1,2,3,4,14,16,14,13,2,15,10,9,12,11,7,7,3,2,6,11,13,15,8,3,14,Brazil,allan-sousa,900000.0,2019-12-13,810000,810000,90000.0
1920,462832,2021,2778,mads-bidstrup,Mads Bidstrup,Denmark,Denmark,2001-02-25,Midfield,midfield - Central Midfield,Right,175,900000.0,900000.0,https://www.transfermarkt.co.uk/mads-bidstrup/profil/spieler/462832,18,1,46831,7228,Mads Bidstrup,"DM, M (C)",Brentford,Sky Bet Championship,England (Sky Bet Championship),DEN,178,69,18,Right,M (C),CM,215000,4000,90,133,13,10,2,14,15,11,6,9,2,3,3,10,4,13,10,1,10,10,10,4,11,13,3,8,7,2,8,8,13,6,3,9,14,12,8,7,9,13,2,1,11,7,11,13,14,2,10,Denmark,mads-bidstrup,900000.0,2019-07-28,900000,900000,0.0
1921,527838,2021,621,alex-petxa,Alex Petxa,Spain,Spain,1997-02-06,Defender,Defender - Right-Back,Right,179,900000.0,900000.0,https://www.transfermarkt.co.uk/alex-petxa/profil/spieler/527838,22,0,25268,16677,Ãlex PetxarromÃ¡n,D (RC),Real Sociedad B,Spanish Second Division B2,Spain (Second Division B2),ESP,180,73,22,Right,D (R),FB,185000,1500,96,123,11,7,3,10,10,15,8,8,2,1,1,11,6,11,14,3,9,13,9,9,8,12,3,11,11,2,9,1,11,4,1,9,13,14,8,7,12,11,3,1,12,6,10,14,7,2,11,Spain,elex-petxarroman,900000.0,2019-09-10,180000,180000,720000.0
1922,107665,2021,36,filip-novak,Filip Novak,CSSR,Czech Republic,1990-06-26,Defender,Defender - Left-Back,Left,184,900000.0,3330000.0,https://www.transfermarkt.co.uk/filip-novak/profil/spieler/107665,29,0,73359,5778,Filip NovÃ¡k,"D (LC), WB (L)",FenerbahÃ§e,Turkish Super League,Turkey (Super League),CZE,183,78,28,Left,D (L),WB,9000000,49000,130,135,13,13,2,12,12,12,13,14,3,1,1,11,11,12,12,2,15,13,12,15,11,10,2,13,14,2,14,12,12,12,3,13,15,13,12,13,11,13,3,1,15,13,15,12,10,1,14,Czech Republic,filip-novak,900000.0,2019-10-04,2970000,2970000,-2070000.0
